STUDY_ID,STUDY_TEXT,SUBJECT_ID,SUBJECT_TEXT,SEMESTER_TEXT
901,Jura Kandidat,Entrepriseret (Byggeret),Entrepriseret (Byggeret),Kandidatfag
901,Jura Kandidat,Finansieringsret,Finansieringsret,Kandidatfag
901,Jura Kandidat,IT-ret,IT-ret,Kandidatfag
901,Jura Kandidat,Immaterialret,Immaterialret,Kandidatfag
901,Jura Kandidat,Insolvensret,Insolvensret,Kandidatfag
901,Jura Kandidat,International Criminal Law and Procedure.,International Criminal Law and Procedure.,Kandidatfag
901,Jura Kandidat,International Migration Law,International Migration Law,Kandidatfag
901,Jura Kandidat,It-kontraktret,It-kontraktret,Kandidatfag
901,Jura Kandidat,Juridisk metode   argumentation,Juridisk metode   argumentation,Kandidatfag
901,Jura Kandidat,Konfliktmægling (Mediation),Konfliktmægling (Mediation),Kandidatfag
901,Jura Kandidat,Latin for Jurister,Latin for Jurister,Kandidatfag
901,Jura Kandidat,Legal English,Legal English,Kandidatfag
901,Jura Kandidat,Legal Negotiation in Theory and Practice,Legal Negotiation in Theory and Practice,Kandidatfag
901,Jura Kandidat,Mediation in Legal Contexts,Mediation in Legal Contexts,Kandidatfag
901,Jura Kandidat,Medieret,Medieret,Kandidatfag
901,Jura Kandidat,Peaceful Settlement of International Disputes,Peaceful Settlement of International Disputes,Kandidatfag
901,Jura Kandidat,Pensionsret,Pensionsret,Kandidatfag
901,Jura Kandidat,Praktisk Aftaleret,Praktisk Aftaleret,Kandidatfag
901,Jura Kandidat,Selskabsret,Selskabsret,Kandidatfag
901,Jura Kandidat,Skatteret (Obligatorisk),Skatteret (Obligatorisk),Kandidatfag
901,Jura Kandidat,Socialret,Socialret,Kandidatfag
901,Jura Kandidat,Speciale - Jurastudiet,Speciale - Jurastudiet,Kandidatfag
901,Jura Kandidat,Specialiseret erstatningsret,Specialiseret erstatningsret,Kandidatfag
901,Jura Kandidat,Specialiseret familieret,Specialiseret familieret,Kandidatfag
901,Jura Kandidat,Specialstrafferet,Specialstrafferet,Kandidatfag
901,Jura Kandidat,Straffeprocesret,Straffeprocesret,Kandidatfag
901,Jura Kandidat,Straffuldbyrdelsesret,Straffuldbyrdelsesret,Kandidatfag
901,Jura Kandidat,Sundhedsret,Sundhedsret,Kandidatfag
901,Jura Kandidat,Udbudsret,Udbudsret,Kandidatfag
901,Jura Kandidat,Udlændingeret,Udlændingeret,Kandidatfag
901,Jura Kandidat,Udvidet skatteret (obligatorisk),Udvidet skatteret (obligatorisk),Kandidatfag
904,Jura Masteruddannelse,Konfliktmægling (Master),Konfliktmægling (Master),Master.
903,Politiskolen - Grunduddannelsen,Politiskolen - Grundbøger,Politiskolen - Grundbøger,Polti Grundudd
421,Agricultural Economics,Incentives and Regulation - agro.eco,Incentives and Regulation - agro.eco,Kandidat blok 3
421,Agricultural Economics,Applied Environmental and Natural Resource-agri ec,Applied Environmental and Natural Resource-agri ec,Kandidat blok 4
422,Agriculture  Agronom,Geographical Information Systems (GIS) agronom,Geographical Information Systems (GIS) agronom,Kandidat blok 3
422,Agriculture  Agronom,Incentives and Regulation - agronom,Incentives and Regulation - agronom,Kandidat blok 3
422,Agriculture  Agronom,Molecular Plant-Microbe Interactions - agronom,Molecular Plant-Microbe Interactions - agronom,Kandidat blok 3
422,Agriculture  Agronom,Cool Climate Viticulture and Enology,Cool Climate Viticulture and Enology,Kandidat blok 4
422,Agriculture  Agronom,Working as a Consultant - agronom,Working as a Consultant - agronom,Kandidat blok 4
653,Biokemi,Cellebiologi for biokemikere BIOKEMI,Cellebiologi for biokemikere BIOKEMI,Bach.2.år blok 4
654,Biologi,Almen biokemi 1 (BioK1) BIOLOGI,Almen biokemi 1 (BioK1) BIOLOGI,Bach.1.år blok 4
654,Biologi,"Feltbiologi I, II og III (Feltbio) BIOLOGI","Feltbiologi I, II og III (Feltbio) BIOLOGI",Bach.1.år blok 4
654,Biologi,Evolutionsbiologi BIOLOGI,Evolutionsbiologi BIOLOGI,Bach.2.år blok 4
654,Biologi,Zoofysiologi (Zoofys) BIOLOGI,Zoofysiologi (Zoofys) BIOLOGI,Bach.3.år blok 4
654,Biologi,Botanik BIOLOGI,Botanik BIOLOGI,Bachelor blok 4
654,Biologi,Cellular and Molecular Immunology BIO,Cellular and Molecular Immunology BIO,Bachelor blok 4
654,Biologi,Danmarks fauna - Hvirveldyr (DanFauna) BIOLOGI,Danmarks fauna - Hvirveldyr (DanFauna) BIOLOGI,Bachelor blok 4
654,Biologi,Grundkursus i de naturvidenskabelige fags.. BIOLOG,Grundkursus i de naturvidenskabelige fags.. BIOLOG,Bachelor blok 4
654,Biologi,Invasion Biology BIOLOGI,Invasion Biology BIOLOGI,Kandidat blok 4
654,Biologi,Mammalian Genomics BIOLOGI,Mammalian Genomics BIOLOGI,Kandidat blok 4
654,Biologi,Terrestrial Ecosystem Processes BIOLOGI,Terrestrial Ecosystem Processes BIOLOGI,Kandidat blok 4
400,Biologi - bioteknologi,Mikrobiologi - biotek,Mikrobiologi - biotek,Bach.1.år blok 3
400,Biologi - bioteknologi,Organisk Kemi for biovidenskab - biotek,Organisk Kemi for biovidenskab - biotek,Bach.1.år blok 3
400,Biologi - bioteknologi,Molekylær genetik - biotek,Molekylær genetik - biotek,Bach.1.år blok 4
400,Biologi - bioteknologi,Experimental Molecular Biology - biotek,Experimental Molecular Biology - biotek,Bach.2.år blok 3
400,Biologi - bioteknologi,Dyrs og Planters Diversitet - biotek,Dyrs og Planters Diversitet - biotek,Bach.2.år blok 4
400,Biologi - bioteknologi,Grundkursus i de naturvidenskabelige fags  - biote,Grundkursus i de naturvidenskabelige fags  - biote,Bach.2.år blok 4
400,Biologi - bioteknologi,Almen Økologi (Økologi) - biotek,Almen Økologi (Økologi) - biotek,Bach.3.år blok 3
400,Biologi - bioteknologi,Bioteknologiens videnskabsteori - biotek,Bioteknologiens videnskabsteori - biotek,Bach.3.år blok 3
