university_text,study_text,subject_text,semester_text,isbn
CBS,BSc International Business & Politics,BSC IBP Research Design and Qualitative Methods,2. semester,9780198796053
CBS,BSc International Business & Politics,BSc IBP Financial Accounting & reporting,2. semester,9781292412733
CBS,BSc International Business & Politics,BSc IBP Macroeconomics,2. semester,9781800065468
CBS,BSc International Business & Politics,BSc IBP Management and Organization,2. semester,9780198723981
CBS,BSc International Business & Politics,BSc IBP Advanced Topics in Quantitative Methods,4. semester,9780691214351
CBS,BSc International Business & Politics,BSc IBP Corporate finance,4. semester,9781265102593
CBS,BSc in Business Administration and Sociology,BSc SOC Financial Accounting,2. semester,9781292412900
CBS,BSc in Business Administration and Sociology,BSc SOC Research design & quantitative methods I,2. semester,9780691199436
CBS,BSc in Business Administration and Sociology,BSc SOC Consumer Culture and Marketing,4. semester,9781292269566
CBS,BSc in Business Administration and Sociology,BSc SOC Philosophy of science,4. semester,9788741256573
CBS,BSc in Business Administration and Sociology,BSc SOC Quantitative methods II,6. semester,9780691214351
CBS,BSc in International Shipping and Trade,BSc IST Corporate finance,2. semester,9781265102593
CBS,BSc in International Shipping and Trade,BSc IST Financial accounting,2. semester,9781292412733
CBS,BSc in International Shipping and Trade,BSc IST Principles of international marketing,2. semester,9781292251806
CBS,Bachelor Valgfag,BHAAV1581U Virksomhedshandel,Bachelor Valgfag,9788761925541
CBS,Bachelor Valgfag,BHAAV1581U Virksomhedshandel,Bachelor Valgfag,9788763445290
CBS,Bachelor Valgfag,BHAAV4491U Financial derivatives and their applica,Bachelor Valgfag,9781292410654
CBS,Bachelor Valgfag,BHAAV6021U Global people management,Bachelor Valgfag,9781108461146
CBS,Bachelor Valgfag,BHAAV6021U Global people management,Bachelor Valgfag,9781398603530
CBS,Bachelor Valgfag,BHAAV6021U Global people management,Bachelor Valgfag,9781843983750
CBS,Bachelor Valgfag,BINBV1106U Danish integrated skills,Bachelor Valgfag,9788763602068
CBS,Bachelor Valgfag,BINBV1106U Danish integrated skills,Bachelor Valgfag,9788763603058
CBS,Bachelor Valgfag,BPSYV1035  Language of negotiations,Bachelor Valgfag,9788763427814
CBS,CM Finansiering & Regnskab (FIR),CM FIR Corporate finance CFIRO1050U,2. semester,9781292446424
CBS,CM Finansiering & Regnskab (FIR),CM FIR Kapitalselskaber; selskabsret og skatteret,2. semester,9788761941671
CBS,CM Finansiering & Regnskab (FIR),CM FIR Kapitalselskaber; selskabsret og skatteret,2. semester,9788761941862
CBS,CM Finansiering & Regnskab (FIR),CM FIR Kapitalselskaber; selskabsret og skatteret,2. semester,9788761944948
CBS,CM Finansiering & Regnskab (FIR),CM FIR Økonomistyring,2. semester,9781526893390
CBS,CM Valgfag,CCMVV1483U Køb og salg af virksomheder,Kandidat Valgfag,9788245034240
CBS,CM Valgfag,CCMVV1483U Køb og salg af virksomheder,Kandidat Valgfag,9788757446050
CBS,CM Valgfag,CMECV1247U Predictive Modeling og Machine Learning,Kandidat Valgfag,9780387848570
CBS,CM Valgfag,CMECV1247U Predictive Modeling og Machine Learning,Kandidat Valgfag,9781466510845
CBS,CM Økonomisk Markedsføring (EMF),CM EMF Performance management & Marketing,2. semester,9788799571437
CBS,CM Økonomisk Markedsføring (EMF),CM EMF Strategisk markedsføringsplanlægning,2. semester,9781119392200
CBS,Cand.merc.aud.,CM AUD Erhvervsret 2,2. semester,9788761939852
CBS,Cand.merc.aud.,CM AUD Regnskab 2 CCMAO1026U,2. semester,9788245034240
CBS,Cand.merc.aud.,CM AUD Regnskab 2 CCMAO1026U,2. semester,9788713050987
CBS,Cand.merc.aud.,CM AUD Regnskab 2 CCMAO1026U,2. semester,9788761942364
CBS,Cand.merc.aud.,CM AUD Revision II CCMA2O1027U,2. semester,9788761937667
CBS,Cand.merc.aud.,CM AUD Revision II CCMA2O1027U,2. semester,9788761939593
CBS,Cand.merc.aud.,CM AUD Revision II CCMA2O1027U,2. semester,9788761941374
CBS,Cand.merc.aud.,CM AUD Skatteret 2,2. semester,9781107483507
CBS,Cand.merc.aud.,CM AUD Skatteret 2,2. semester,9788741273273
CBS,Cand.merc.aud.,CM AUD Skatteret 2,2. semester,9788757451795
CBS,Cand.merc.aud.,CM AUD Skatteret 2,2. semester,9788757454369
CBS,Cand.merc.aud.,CM AUD Intern revision CCMAV3000U,4. semester,9781634541374
CBS,Cand.merc.jur.,CJURV1601U Regulering af markeder,Kandidat Valgfag,9781108793629
CBS,Cand.merc.jur.,CJURV1601U Regulering af markeder,Kandidat Valgfag,9781108888721
CBS,Cand.merc.jur.,CJURV2102U Strategisk kontrahering i et internatio,Kandidat Valgfag,9788742000564
CBS,Cand.merc.mat.,CMATV1014U Kreditrisiko - modeller med anvendelser,Kandidat Valgfag,9780691089294
CBS,Cand.merc.mat.,CMECV1022U Statistisk analyse af finansielle data,Kandidat Valgfag,9781493926138
CBS,Cand.merc.psyk,CM PSYK Organisationsudvikling i praksis,2. semester,9788763447874
CBS,HA (it.),HA IT IT projektledelse,2. semester,9780077122799
CBS,HA (it.),HA IT IT projektledelse,2. semester,9788757459302
CBS,HA (it.),HA IT VØS 2 Regnskabsvæsen,2. semester,9781292439426
CBS,HA (it.),HA IT VØS 2 Regnskabsvæsen,2. semester,9788712070603
CBS,HA (it.),HA IT Analyse & design af brugervenlige informatio,4. semester,9781292155517
CBS,HA (it.),HA IT Analyse & design af brugervenlige informatio,4. semester,9788797069301
CBS,HA (it.),HA IT IT-strategi,4. semester,9788759327302
CBS,HA (it.),HA IT VØS 4 Virksomhedens Interne Økonomiske Org.,4. semester,9781447083535
CBS,HA (it.),HA IT IT kontrakter BINTU3001U,6. semester,9788742000502
CBS,HA (it.),HA IT Videnskabsteori,6. semester,9781529732696
CBS,HA Europæisk business,HA EB Strategic management,2. semester,9781119815235
CBS,HA Europæisk business,HA EB Danmark i et komparativt perspektiv,2. semester.,9788741263199
CBS,HA Europæisk business,HA EB Finansiering,4. semester,9781398906631
CBS,HA Europæisk business,HA EB Finansiering,4. semester,9788763447768
CBS,HA Europæisk business,HA EB Internationalisering & kvalitativ metode,4. semester,9781292274157
CBS,HA Europæisk business,HA EB Internationalisering & kvalitativ metode,4. semester,9788741263779
CBS,HA Europæisk business,HA EB Marketing,4. semester,9781292248448
CBS,HA Mak - Markeds- og Kulturanalyse,HA MAK Global Marketing Audit BMAKO2003U,2. semester,9781839611193
CBS,HA Mak - Markeds- og Kulturanalyse,HA MAK Mikroøkonomi,2. semester,9781292446448
CBS,HA Mak - Markeds- og Kulturanalyse,HA MAK Kultur og kommunikation i organisationer,4. semester,9781577666400
CBS,HA Mak - Markeds- og Kulturanalyse,HA Mak Forbrugerindsigt i Praksis,4. semester,9780857027672
CBS,HA Mak - Markeds- og Kulturanalyse,HA MAK Kommunikation af kompleks data og viden,6. semester,9780321934079
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Beslutning risiko & usikkerhed,2. semester,9780141033570
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Metode projektstyringsværktøjer,2. semester,9788759341179
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Regnskab,2. semester,9781292439426
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Regnskab,2. semester,9788712070603
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Statistik,2. semester,9781292444765
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Afsætningsøkonomi,4. semester,9781119392200
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Afsætningsøkonomi,4. semester,9788702317138
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Afsætningsøkonomi,4. semester,9788702384192
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Projektsamfundet,6. semester,9788763447829
CBS,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Videnskabsteori & metode,6. semester,9788741256566
CBS,HA(fil.),HA FIL ETIK,2. semester,9781624668159
CBS,HA(fil.),HA FIL ETIK,2. semester,9788741227061
CBS,HA(fil.),HA FIL ETIK,2. semester,9788763447812
CBS,HA(fil.),HA FIL ETIK,2. semester,9788790030063
CBS,HA(fil.),HA FIL Eksternt regnskab,2. semester,9788712070603
CBS,HA(fil.),HA FIL Eksternt regnskab,2. semester,9788712070610
CBS,HA(fil.),HA(fil.) Statistik og sandsynlighedsregning,2. semester,9781292220314
CBS,HA(jur.),HA JUR Forvaltningsret BJURO1505U,2. semester,9788757442878
CBS,HA(jur.),HA JUR Forvaltningsret BJURO1505U,2. semester,9788757455700
CBS,HA(jur.),HA JUR Makroøkonomi,2. semester,9781292351612
CBS,HA(jur.),HA JUR Markedsret,2. semester,9788742000489
CBS,HA(jur.),HA JUR Organisationsanalyse,2. semester,9780273765608
CBS,HA(jur.),HA JUR retlig regulering af kreditter & sikkerhed,2. semester,9788761923066
CBS,HA(jur.),HA JUR retlig regulering af kreditter & sikkerhed,2. semester,9788761936219
CBS,HA(jur.),HA JUR retlig regulering af kreditter & sikkerhed,2. semester,9788761942951
CBS,HA(jur.),HA JUR Eksternt regnskab,4. semester,9781292439426
CBS,HA(jur.),HA JUR Eksternt regnskab,4. semester,9788712070603
CBS,HA(jur.),HA JUR Finansiering,4. semester,9781398906631
CBS,HA(jur.),HA JUR Finansiering,4. semester,9788763447768
CBS,HA(jur.),HA JUR Selskabsret,4. semester,9788761941862
CBS,HA(jur.),HA JUR Selskabsret,4. semester,9788761942203
CBS,HA(jur.),HA JUR Rets-og kontraktsøkonomi,6. semester,9780262041690
CBS,HA(jur.),HA JUR Rets-og kontraktsøkonomi,6. semester,9788202494971
CBS,HA(jur.),HA JUR Skatteret,6. semester,9788757454369
CBS,HA(jur.),HA JUR Skatteret,6. semester,9788757457247
CBS,HA(kom.),HA KOM Kvalitativ metode og videnskabsteori,2. semester,9788741253800
CBS,HA(kom.),HA KOM Kvalitativ metode og videnskabsteori,2. semester,9788759333914
CBS,HA(kom.),HA KOM Kvalitativ metode og videnskabsteori,2. semester,9788763447379
CBS,HA(kom.),HA KOM Marketing,2. semester,9781292248448
CBS,HA(kom.),HA KOM Organisationskommunikation,2. semester,9781577666400
CBS,HA(kom.),HA KOM Ekstern kommunikation i praksis,4. semester,9788759338803
CBS,HA(kom.),HA KOM Ekstern kommunikation i praksis,4. semester,9788763447799
CBS,HA(kom.),HA KOM Ekstern kommunikation i praksis,4. semester,9788776757601
CBS,HA(kom.),HA KOM Ekstern kommunikation i praksis,4. semester,9788702315950
CBS,HA(kom.),HA KOM Institutionelle perspektiver,4. semester,9788763447843
CBS,HA(mat.),HA MAT Mikroøkonomi,2. semester,9780393690019
CBS,HA(mat.),HA MAT Numerisk algoritmer,2. semester,9780692196380
CBS,HA(mat.),HA Mat Eksternt Regnskab,2. semester,9788712070603
CBS,HA(mat.),HA Mat Eksternt Regnskab,2. semester,9788712070610
CBS,HA(mat.),HA MAT Makroøkonomi II,4. semester,9781307750188
CBS,HA(mat.),HA MAT Spilteori,4. semester,9780745011592
CBS,HA(mat.),HA MAT Industriøkonomi,6. semester,9781107687899
CBS,HA(mat.),HA MAT Organisation & ledelse,6. semester,9781292417813
CBS,HA(psyk.),HA PSYK Eksternt Regnskab,2. semester,9781292412900
CBS,HA(psyk.),HA PSYK Kvantitativ metode,2. semester,9781292444765
CBS,HA(psyk.),HA PSYK Digitalisering og organisering,4. semester,9781137604910
CBS,HA(psyk.),HA PSYK Finansiering,4. semester,9781398906631
CBS,HA(psyk.),HA PSYK Finansiering,4. semester,9788763447768
CBS,HA(psyk.),HA PSYK Forbrugeradfærd,4. semester,9780198862567
CBS,HA(psyk.),HA PSYK Videnskabsteori,4. semester,9788741256566
CBS,HA(psyk.),HA PSYK HRM & Psykologiske tests,6. semester,9788759340103
CBS,HA(psyk.),HA PSYK HRM & Psykologiske tests,6. semester,9788759341858
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Makroøkonomi,2. semester,9781292351612
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Makroøkonomi,2. semester,9788757442823
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Statistik fortsat,2. semester,9781292023007
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Statistik fortsat,2. semester,9781292036182
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Eksternt regnskab,4. semester,9781292439426
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Eksternt regnskab,4. semester,9788712070603
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Erhvervsret,4. semester,9788757456134
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Erhvervsret,4. semester,9788757457278
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Strategi,4. semester,9780273719588
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Strategi,4. semester,9788763447867
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Erhvervsøkonomiens videnskabsteori,6. semester,9788759333914
CBS,HA-Almen Erhvervsøkonomi,HA ALMEN Erhvervsøkonomiens videnskabsteori,6. semester,9788763447782
CBS,HA-Almen Erhvervsøkonomi,BHAAV1058U Management accounting & control systems,Bachelor Valgfag,9781292444130
CBS,HA-Almen Erhvervsøkonomi,BHAAV1082U Økonomistyret marketing & strategi,Bachelor Valgfag,9780470689752
CBS,HA-Almen Erhvervsøkonomi,BHAAV1082U Økonomistyret marketing & strategi,Bachelor Valgfag,9781265042639
CBS,HA-Almen Erhvervsøkonomi,BHAAV1082U Økonomistyret marketing & strategi,Bachelor Valgfag,9788759341704
CBS,HA-Almen Erhvervsøkonomi,BHAAV1082U Økonomistyret marketing & strategi,Bachelor Valgfag,9788759341728
CBS,HA-Almen Erhvervsøkonomi,BHAAV1366U Strategic management,Bachelor Valgfag,9780077172190
CBS,HA-Almen Erhvervsøkonomi,BHAAV1988 Retail marketing,Bachelor Valgfag,9781265072469
CBS,HA-Almen Erhvervsøkonomi,BHAAV6006U Corporate strategy,Bachelor Valgfag,9781292428758
CBS,HD 1. del,HD1 Forår Erhvervsøkonomi og forretningsforståelse,1. semester,9781473795648
CBS,HD 1. del,HD1 Forår Organisering i terori og praksis,1. semester,9788741255897
CBS,HD 1. del,HD1 Forår Organisering i terori og praksis,1. semester,9788763447560
CBS,HD 1. del,HD1 Forår Organisering i terori og praksis,1. semester,9788741260228
CBS,HD 1. del,Boghandleren anbefaler også disse:,1. semester,9788759339015
CBS,HD 1. del,Boghandleren anbefaler også disse:,1. semester,9788759339183
CBS,HD 1. del,Boghandleren anbefaler også disse:,1. semester,9788759334843
CBS,HD 1. del,HD 1 Forår Design af undersøgelser og analyser,2. semester,9788741253800
CBS,HD 1. del,HD 1 Forår Design af undersøgelser og analyser,2. semester,9788763447850
CBS,HD 1. del,HD 1 Forår Virksomhedens Økonomiske planlægning,2. semester,9788757456356
CBS,HD 1. del,HD 1 Forår Virksomhedens Økonomiske planlægning,2. semester,9788797017722
CBS,HD 1. del,HD1 Forår Business Intelligence,2. semester,9781292444765
CBS,HD 1. del,Boghandleren anbefaler også disse:,2. semester,9788759339015
CBS,HD 1. del,Boghandleren anbefaler også disse:,2. semester,9788759339183
CBS,HD 1. del,Boghandleren anbefaler også disse:,2. semester,9788759334843
CBS,HD 1. del,HD 1 Forår Strategisk erhvervsret,3. semester,9788757456134
CBS,HD 1. del,HD 1 Forår Strategisk erhvervsret,3. semester,9788757457278
CBS,HD 1. del,HD1 Forår Virksomhedens økonomiske og pol.omv.,3. semester,9781398904385
CBS,HD 1. del,HD1 Forår Virksomhedens økonomiske og pol.omv.,3. semester,9788757455397
CBS,HD 1. del,HD1 Forår Økonomisk teori og organisationsdesign,3. semester,9781398907072
CBS,HD 1. del,Boghandleren anbefaler også disse:,3. semester,9788759339015
CBS,HD 1. del,Boghandleren anbefaler også disse:,3. semester,9788759339183
CBS,HD 1. del,Boghandleren anbefaler også disse:,3. semester,9788759334843
CBS,HD 1. del,HD 1 Strategisk Ledelseskommunikation,Valgfag,9788702364149
CBS,HD 1. del,HD 1 Strategisk Ledelseskommunikation,Valgfag,9788777069970
CBS,HD 1. del,HD 1 Valgfag - Strategisk Erhvervsret II,Valgfag,9788757456134
CBS,HD 1. del,HD 1 Valgfag - Strategisk Erhvervsret II,Valgfag,9788757457278
CBS,HD 2. del: Finansiel Rådgivning,HD FR  Bogligøkonomi,2. semester,9788763447805
CBS,HD 2. del: Finansiel Rådgivning,HD FR (FVPS): Frie midler,2. semester,9788750045205
CBS,HD 2. del: Finansiel Rådgivning,HD FR (FVPS): Frie midler,2. semester,9788763445368
CBS,HD 2. del: Finansiel Rådgivning,HD FR Personbeskatning,2. semester,9788757454369
CBS,HD 2. del: Finansiel Rådgivning,HD FR Personbeskatning,2. semester,9788757454819
CBS,HD 2. del: Finansiel Rådgivning,HD FR Retlig regulering,2. semester,9788761930934
CBS,HD 2. del: Finansiering,HD F Corporate finance,2. semester,9781265074159
CBS,HD 2. del: Finansiering,HD F Derivatives og Risk Management,2. semester,9781292422114
CBS,HD 2. del: Finansiering,HD F International Finance,HD 2 Valgfag,9781260575316
CBS,HD 2. del: Organisation & Ledelse,HD O Organisation i forandring,2. semester,9788759314968
CBS,HD 2. del: Organisation & Ledelse,HD O Organisation i forandring,2. semester,9788763447775
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Økonomistyring,2. semester,9781526893390
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Økonomistyring,2. semester,9788757451252
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Økonomistyring,2. semester,9788757451573
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Corporate finance policies,Valgfag,9781265074159
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Risk & financial planning - valgfag,Valgfag,9781473778917
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Skatteret,Valgfag,9788759335987
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Skatteret,Valgfag,9788759335994
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Skatteret,Valgfag,9788761944948
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Skatteret,Valgfag,9788761944979
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Transfer pricing,Valgfag,9789403517216
CBS,HD 2. del: Regnskab & Økonomistyring,HD R Valgfag Accounting information systems,Valgfag,9781292353364
CBS,HD 2. del: Supply Chain Management,HD 2. del.The Digital Supply Chain,Graduate Courses,9788763447836
CBS,HD 2.del: Business,HD B Business Projekt,2. semester,9781108402774
CBS,HD 2.del: International business,HD IB Risk Management,2. semester,9780521132152
CBS,HD 2.del: Strategisk Salg og Marketing,HD SSM Data og kundeindsigt i Teori og Praksis,2. semester,9788799571420
CBS,HD 2.del: Strategisk Salg og Marketing,HD SSM Data og kundeindsigt i Teori og Praksis,2. semester,9788799571437
CBS,HD 2.del: Strategisk Salg og Marketing,HD SSM Kunderelationer,2. semester,9788799571437
CBS,HD 2.del: Strategisk Salg og Marketing,HD SSM Kunderelationer,2. semester,9788799571451
CBS,HD 2.del: Strategisk Salg og Marketing,HD SSM Moderne salgsledelse,2. semester,9788797245101
CBS,HD 2.del: Strategisk Salg og Marketing,HD SSM Digital Mediestrategi,3. semester,9780367444754
CBS,HD 2.del: Strategisk Salg og Marketing,HD SSM Strategisk brand management,3. semester,9780367172589
CBS,MBD Master of business development,MBD F24  Organisation & forandring Hold LB,Grundfag,9788759327098
CBS,MBD Master of business development,MBD F24 Business development Hold LA,Grundfag,9780470689752
CBS,MBD Master of business development,MBD F24 Pricing Management,Kernefag,9781138737501
CBS,MBD Master of business development,MBD F24 Værdiskabende Supply Chains,MBD Valgfag,9789198039306
CBS,MSc Applied Economics & Finance (AEF),MSc AEF Advanced macroeconomics,2. semester,9781307750188
CBS,MSc Applied Economics & Finance (AEF),MSc AEF International finance,2. semester,9780691136677
CBS,MSc BLC Business and Development Studies (BADS),MSc BLC The Eu as a global actor,2. semester.,9780192897343
CBS,MSc Brand and Communications Management (BCM),MSc BCM Applied strategic brand management,2. semester,9781292093147
CBS,MSc Business Admin. & Data Science (MSc DS),MSc DS Data Economics,2. semester,9781633697621
CBS,MSc Business Admin. & Information Systems (MSc IS),MSc IS Information Economics and Business,2. semester,9781633697621
CBS,MSc Business Admin. & Information Systems (MSc IS),MSc IS Artificial intelligence & machine learning,Kandidat Valgfag,9781449369415
CBS,MSc Business Admin. Innovation in Health Car (IHC),MSc IHC Innovation in clinical processes,2. semester,9781118416105
CBS,MSc Business Admin. Innovation in Health Car (IHC),MSc IHC Innovation in clinical processes,2. semester,9789198039306
CBS,MSc Business Administration and Digital Business,MSc EBUS Perspectives on Digital Business Research,1. semester,9781292402727
CBS,MSc Finance & Strategic Management (FSM),MSc FSM Corporate governance & finance,2. semester,9788757443219
CBS,MSc Finance & Strategic Management (FSM),MSc FSM Risk Management,2. semester,9781119932482
CBS,MSc International Marketing & Management (IMM),MSc IMM International Business and Strategy,2. semester,9781119815235
CBS,MSc International Marketing & Management (IMM),MSc IMM International Marketing,2. semester,9781292251806
CBS,MSc International Marketing & Management (IMM),MSc IMM Managing international operations,2. semester,9781447097600
CBS,MSc Supply Chain Management (SCM),MSc SCM Business analytics- data driven operations,2. semester,9781292257891
CBS,MSc Supply Chain Management (SCM),MSc SCM Supply chain business project,2. semester,9781292402727
CBS,MSc in General Management and Analytics (GMA),MSc GMA Business Analytics,2. semester,9781265087685
CBS,MSocSc Human Resource Management (HRM),CS HRM Arbejdsmarkedsteori & analyse,2. semester,9788757427981
CBS,MSocSc OIE SDE Strategic Design & Entrepreneurship,CM OIE SDE Management Accounting for Design and In,1. semester,9781447020547
CBS,Master i Skat,Master i Skat Erhvervsbeskatning,Master,9788757454369
CBS,Master i Skat,Master i Skat Erhvervsbeskatning,Master,9788761944979
CBS,Master i Skat,Master i Skat Juridisk Metode,Master,9788757448337
CBS,Master i Skat,Master i Skat Juridisk Metode,Master,9788757455731
CBS,Master i Skat,Master i Skat Juridisk Metode,Master,9788761944979
CBS,Master i Skat,Master i Skat Regnskab og skat,Master,9788757454369
CBS,Master i Skat,Master i Skat Regnskab og skat,Master,9788761944979
CBS,Master i Skat,Master i Skat Skatte- og afgiftsproces,Master,9788757444865
CBS,Master i Skat,Master i skat International selskabsskatteret,Master,9788741273273
CBS,Master i Skat,Master i skat International selskabsskatteret,Master,9788761944979
CBS,Master i Skat,Master i skat Personbeskatning,Master,9788757454369
CBS,Master i Skat,Master i skat Personbeskatning,Master,9788761944979
CBS,Master i Skat,Master i skat Udbytte & aktieavance,Master,9788761934178
CBS,Master i Skat,Master i skat Udbytte & aktieavance,Master,9788761944979
CBS,Master of Public Governance,MPG F24 Hold 2023 - 2. semester,2. semester.,9781529774078
CBS,Master of Public Governance,MPG F24 Hold 2022 - 4.sem./Resultatorien.Lederskab,4. semester.,9788702116137
CBS,Master of Public Governance,MPG F24 Intro- og udviklingsforløb-Fleksi. MUF,Grundfag,9788757446722
CBS,Master of Public Governance,MPG F24 Ledelsesudviklingsforløb (LUF),Grundfag,9781529774078
CBS,Master of Public Governance,MPG F24  Strategisk Ledelse,Kernefag,9781412947879
CBS,Master of Public Governance,MPG F24  Strategisk Ledelse,Kernefag,9788702282443
CBS,Master of Public Governance,MPG F24 Forandringsledelse i en reform-og styr.,Kernefag,9788702226539
CBS,Master of Public Governance,MPG F24 Kommunikation & Ledelse,Kernefag,9788759314074
CBS,Master of Public Governance,MPG F24 Kommunikation & Ledelse,Kernefag,9788759332092
CBS,Master of Public Governance,MPG F24 Kommunikation & Ledelse,Kernefag,9788776757601
CBS,Master of Public Governance,MPG F24 Ledelse af diversitet og inklusion,Kernefag,9788757437980
CBS,Master of Public Governance,MPG F24 Ledelse af diversitet og inklusion,Kernefag,9788794504010
CBS,Master of Public Governance,MPG F24 Ledelse i den eksperiment.organisation,Kernefag,9788771589306
CBS,Master of Public Governance,MPG F24 Ledelse i den eksperiment.organisation,Kernefag,9788775146918
CBS,Master of Public Governance,MPG F24 Resultatorienteret Lederskab,Kernefag,9788702116137
CBS,Master of Public Governance,MPG F24 De politiske budgetter,MPG Valgfag,9788741276731
CBS,Master of Public Governance,MPG F24 Eksistens og ledelse,MPG Valgfag,9788757433661
CBS,Master of Public Governance,MPG F24 Eksistens og ledelse,MPG Valgfag,9788771587081
CBS,Master of Public Governance,MPG F24 Gentænk de kommunale velfærdsstrategier,MPG Valgfag,9788741275567
CBS,Master of Public Governance,MPG F24 Ledelse af hybridarbejde,MPG Valgfag,9788759341209
CBS,Master of Public Governance,MPG F24 Narrativ ledelse af tværgående samarbejde,MPG Valgfag,9788759342954
CBS,Master of Public Governance,MPG F24 Narrativ ledelse af tværgående samarbejde,MPG Valgfag,9788777069437
CBS,Master of Public Governance,MPG F24 Opgaveskrivning og argumentation,MPG Valgfag,9788776832315
CBS,Master of Public Governance,MPG F24 Opgaveskrivning og argumentation,MPG Valgfag,9788792241177
CBS,Master of Public Governance,"MPG F24 Personligt lederskab, transformative dialo",MPG Valgfag,9788757434552
CBS,Master of Public Governance,"MPG F24 Personligt lederskab, transformative dialo",MPG Valgfag,9788771583182
CBS,Master of Public Governance,"MPG F24 Personligt lederskab, transformative dialo",MPG Valgfag,9788777067921
CBS,Master of Public Governance,"MPG F24 Personligt lederskab, transformative dialo",MPG Valgfag,9788793607873
CBS,Master of Public Governance,MPG F24 Strategiimplementering i praksis,MPG Valgfag,9788759332634
DMJX,Kommunikation DMJX KBH,Kommunikation Bogpakke K1 DMJX/KBH,1. semester.,9788741254548
