fetch_date,semester_id,semester_text,university_id,university_text,study_id,study_text,subject_id,subject_text,isbn
2024-04-29T16:57:18.896Z,10226,Bachelor Valgfag,6273789,CBS - Copenhagen Business School,133,Bachelor Valgfag,BPSYV1035  Language of negotiations,BPSYV1035  Language of negotiations,9788763427814
2024-04-29T16:57:18.896Z,10285,2. semester,6273789,CBS - Copenhagen Business School,111,CM Finansiering & Regnskab (FIR),CM FIR Corporate finance CFIRO1050U,CM FIR Corporate finance CFIRO1050U,9781292446424
2024-04-29T16:57:18.896Z,10285,2. semester,6273789,CBS - Copenhagen Business School,111,CM Finansiering & Regnskab (FIR),CM FIR Kapitalselskaber; selskabsret og skatteret,CM FIR Kapitalselskaber; selskabsret og skatteret,9788761941671
2024-04-29T16:57:18.896Z,10285,2. semester,6273789,CBS - Copenhagen Business School,111,CM Finansiering & Regnskab (FIR),CM FIR Kapitalselskaber; selskabsret og skatteret,CM FIR Kapitalselskaber; selskabsret og skatteret,9788761941862
2024-04-29T16:57:18.896Z,10285,2. semester,6273789,CBS - Copenhagen Business School,111,CM Finansiering & Regnskab (FIR),CM FIR Kapitalselskaber; selskabsret og skatteret,CM FIR Kapitalselskaber; selskabsret og skatteret,9788761944948
2024-04-29T16:57:18.896Z,10285,2. semester,6273789,CBS - Copenhagen Business School,111,CM Finansiering & Regnskab (FIR),CM FIR Økonomistyring,CM FIR Økonomistyring,9781526893390
2024-04-29T16:57:18.896Z,10174,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,130,CM Valgfag,CCMVV1483U Køb og salg af virksomheder,CCMVV1483U Køb og salg af virksomheder,9788245034240
2024-04-29T16:57:18.896Z,10174,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,130,CM Valgfag,CCMVV1483U Køb og salg af virksomheder,CCMVV1483U Køb og salg af virksomheder,9788757446050
2024-04-29T16:57:18.896Z,10174,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,130,CM Valgfag,CMECV1247U Predictive Modeling og Machine Learning,CMECV1247U Predictive Modeling og Machine Learning,9780387848570
2024-04-29T16:57:18.896Z,10174,Kandidat Valgfag,6273789,CBS - Copenhagen Business School,130,CM Valgfag,CMECV1247U Predictive Modeling og Machine Learning,CMECV1247U Predictive Modeling og Machine Learning,9781466510845
